x,y
-1.88106,10.63288
-1.14451,2.57851
-1.44604,4.11528
-1.25137,3.85090
-1.05852,3.01903
-1.65765,9.13409
-1.87748,14.38633
-1.29932,2.09812
-0.15944,1.08928
-0.10525,3.59075
-0.34585,2.80097
-0.20501,1.39681
-0.11301,3.26450
-0.23970,1.42204
-0.39535,2.50856
-0.29142,2.97563
0.11829,5.27264
0.35039,6.27264
0.18881,4.22652
0.28747,5.58576
0.41346,7.61440
0.38412,7.05836
0.26295,7.92693
0.41967,7.50467
0.74571,11.62576
1.51675,32.98099
1.15851,19.83321
1.87830,59.43579
1.53780,33.66698
1.55277,37.15902
1.90113,60.45185
0.76060,11.66789
